	(0, 0, IRRELEVANT)	(0, 0, RELEVANT)	(0, 0, ACTIVE)	(0, 1, IRRELEVANT)	(0, 1, RELEVANT)	(0, 1, ACTIVE)	(0, 2, IRRELEVANT)	(0, 2, RELEVANT)	(0, 2, ACTIVE)	(0, 3, IRRELEVANT)	(0, 3, RELEVANT)	(0, 3, ACTIVE)	(0, 4, IRRELEVANT)	(0, 4, RELEVANT)	(0, 4, ACTIVE)	(1, 0, IRRELEVANT)	(1, 0, RELEVANT)	(1, 0, ACTIVE)	(1, 1, IRRELEVANT)	(1, 1, RELEVANT)	(1, 1, ACTIVE)	(1, 2, IRRELEVANT)	(1, 2, RELEVANT)	(1, 2, ACTIVE)	(1, 3, IRRELEVANT)	(1, 3, RELEVANT)	(1, 3, ACTIVE)	(1, 4, IRRELEVANT)	(1, 4, RELEVANT)	(1, 4, ACTIVE)	(2, 0, IRRELEVANT)	(2, 0, RELEVANT)	(2, 0, ACTIVE)	(2, 1, IRRELEVANT)	(2, 1, RELEVANT)	(2, 1, ACTIVE)	(2, 2, IRRELEVANT)	(2, 2, RELEVANT)	(2, 2, ACTIVE)	(2, 3, IRRELEVANT)	(2, 3, RELEVANT)	(2, 3, ACTIVE)	(2, 4, IRRELEVANT)	(2, 4, RELEVANT)	(2, 4, ACTIVE)	(3, 0, IRRELEVANT)	(3, 0, RELEVANT)	(3, 0, ACTIVE)	(3, 1, IRRELEVANT)	(3, 1, RELEVANT)	(3, 1, ACTIVE)	(3, 2, IRRELEVANT)	(3, 2, RELEVANT)	(3, 2, ACTIVE)	(3, 3, IRRELEVANT)	(3, 3, RELEVANT)	(3, 3, ACTIVE)	(3, 4, IRRELEVANT)	(3, 4, RELEVANT)	(3, 4, ACTIVE)	(4, 0, IRRELEVANT)	(4, 0, RELEVANT)	(4, 0, ACTIVE)	(4, 1, IRRELEVANT)	(4, 1, RELEVANT)	(4, 1, ACTIVE)	(4, 2, IRRELEVANT)	(4, 2, RELEVANT)	(4, 2, ACTIVE)	(4, 3, IRRELEVANT)	(4, 3, RELEVANT)	(4, 3, ACTIVE)	(4, 4, IRRELEVANT)	(4, 4, RELEVANT)	(4, 4, ACTIVE)
(0, 0, IRRELEVANT)	-100000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(0, 0, RELEVANT)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(0, 0, ACTIVE)	0.0	0.0	-100000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(0, 1, IRRELEVANT)	0.0	0.0	0.0	-100000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(0, 1, RELEVANT)	0.0	0.0	0.0	0.0	-100000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(0, 1, ACTIVE)	0.0	0.0	0.0	0.0	0.0	-100000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(0, 2, IRRELEVANT)	0.0	0.0	0.0	0.0	0.0	0.0	-100000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(0, 2, RELEVANT)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-100000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(0, 2, ACTIVE)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-100000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(0, 3, IRRELEVANT)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-100000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
